Confirmed,Deaths,Recovered,Active
498646,33666,79230.0,385983.0
500677,33675,79366.0,387876.0
503176,33694,79501.0,390231.0
505431,33724,79621.0,392304.0
507543,33730,79717.0,394315.0
509735,33752,79831.0,396369.0
511368,33763,79831.0,397998.0
513689,33773,79990.0,400156.0
515815,33793,80109.0,402150.0
518812,33857,80225.0,404930.0
522021,33872,80368.0,407989.0
525608,33884,80494.0,411434.0
529036,33903,80646.0,414696.0
532180,33923,80764.0,417493.0
536145,33939,80854.0,421352.0
540965,33961,81020.0,425984.0
545762,33975,81198.0,430589.0
551163,33993,81390.0,435780.0
556551,34010,81585.0,440956.0
560200,34032,81788.0,444380.0
563690,34054,81908.0,447728.0
